round,timestamp,avg_time_ns,max_time_ns,min_time_ns,stdev_time_ns,suspicious_count
404,1762785765.2844775,111.765625,1210,60,76.0563242655357,8
405,1762785765.335941,65.9765625,500,50,29.555919706648993,3
406,1762785765.387536,88.01171875,1210,60,81.2222553497078,10
407,1762785765.439047,74.76953125,580,60,34.40003433330195,6
408,1762785765.4904838,61.76171875,560,50,34.01997480395546,2
409,1762785765.541971,74.02734375,600,60,35.06569792483649,3
410,1762785765.5937603,83.2109375,780,60,59.27478746416193,4
411,1762785765.6452434,74.4921875,580,60,34.295942958772436,5
412,1762785765.696712,74.6875,720,60,42.81171728925274,4
413,1762785765.7483013,79.8828125,1130,60,72.60142288820624,4
414,1762785765.7998545,78.24609375,650,60,47.596897909041566,4
415,1762785765.851341,75.78125,580,60,35.059822824289746,3
416,1762785765.9028726,78.3984375,960,60,57.300150886945026,3
417,1762785765.9544206,234.109375,40251,60,2511.131530697025,1
418,1762785766.0059452,66.56640625,770,50,50.45762621749959,5
419,1762785766.0574534,76.484375,580,60,33.77177946503995,4
420,1762785766.1089213,76.01953125,910,60,53.9405955874463,2
421,1762785766.1604564,76.25390625,590,60,44.26251882706933,3
422,1762785766.2119186,76.0546875,820,60,49.68588525554769,4
423,1762785766.263425,78.95703125,1040,60,63.59382530587631,4
424,1762785766.3149278,76.2109375,710,60,42.85061188274317,6
425,1762785766.3665607,89.7265625,1520,60,98.67118814577049,4
426,1762785766.417039,76.64453125,770,60,45.17845453630763,3
427,1762785766.4685419,76.953125,850,60,51.090977581135384,4
428,1762785766.5200841,68.828125,780,50,47.29749143536506,3
429,1762785766.5715888,63.83203125,690,50,45.66037357571146,5
430,1762785766.623086,63.59765625,870,50,52.306320938979916,4
431,1762785766.6745715,75.8203125,580,60,35.148298392695494,4
432,1762785766.726049,118.359375,12520,50,781.1452400350473,2
433,1762785766.777525,61.76171875,440,50,33.48435191125351,5
434,1762785766.8290951,83.1640625,1850,60,114.79798299408314,6
435,1762785766.88063,78.21484375,760,60,44.93599734322576,2
436,1762785766.932141,79.8125,1061,60,66.81061909254704,7
437,1762785766.9836934,76.33203125,580,60,42.864893874104425,5
438,1762785767.0352504,76.5625,1000,60,59.68462869081774,4
439,1762785767.0867364,74.8046875,580,60,34.15020077884307,4
440,1762785767.138198,61.40625,760,50,45.42150091199144,3
441,1762785767.1896784,62.85546875,570,50,40.38314792883483,5
442,1762785767.2414014,62.578125,750,50,44.61154504139475,2
443,1762785767.2929273,94.8515625,8650,50,537.6245368152241,1
444,1762785767.3445122,94.6953125,1110,60,75.37041169008786,6
445,1762785767.3960261,79.10546875,580,60,34.280054930730806,3
446,1762785767.4475195,76.64453125,760,60,45.56910943480652,4
447,1762785767.4989827,78.83203125,1340,60,82.80976965532295,3
448,1762785767.550481,63.20703125,730,50,48.81931582300668,3
